name	n_dependents	n_tp_dependents	own_download_count
drf-nested-routers	1	1	1374269
gwcs	2	1	146416
dotmap	5	1	1761418
mdformat-frontmatter	1	1	512569
fake-useragent	4	1	6528354
gspread-pandas	2	1	902646
jaraco-classes	3	1	133257060
opentelemetry-instrumentation-asgi	6	1	38538188
parameter-decorators	1	1	181272
crashtest	2	1	62733335
argon2-cffi-bindings	1	1	48707685
evaluate	4	1	4587458
multiurl	3	1	383609
cwltool	1	1	285343
pyhumps	12	1	5533227
dukpy	1	1	417665
astral	1	1	686430
sarif-om	4	1	2178753
alibabacloud-ecs20140526	1	1	97092
gguf	4	1	4450730
pyudev	1	1	1301414
trino	5	1	13163968
python-louvain	1	1	261658
pyroaring	1	1	20499756
vcrpy	4	1	7860549
alibabacloud-tea-openapi	3	1	7702400
pynvml	1	1	3429460
nodeenv	5	1	105108820
pywavelets	6	1	12104024
graspologic-native	2	1	161221
aioconsole	1	1	945924
nano-vectordb	1	1	139281
socksio	3	1	7442084
azure-monitor-query	3	1	8218283
zope-testing	2	1	187572
aiomultiprocess	2	1	3707570
pykube-ng	1	1	201873
json-e	1	1	561571
textual-speedups	1	1	1472770
pysen	1	1	103336
chia-base	1	1	107819
cerebras-cloud-sdk	1	1	1195584
pypng	3	1	4194503
polling	1	1	1461269
ratelimit	4	1	11299574
eel	2	1	88394
pyre-check	1	1	145888
qprompt	1	1	56466
oauth2client	8	1	33777435
openinference-instrumentation-langchain	3	1	1520256
vastdb	1	1	6913768
zope-configuration	8	1	341834
mkdocstrings-python	1	1	9527660
django-countries	2	1	1672139
alibabacloud-ram20150501	1	1	82487
fastcore	11	1	8982817
ida-netnode	1	1	86366
mmtf-python	1	1	1030649
agno	1	1	1148112
serpyco-rs	1	1	409090
restructuredtext-lint	2	1	8804905
pqdm	1	1	333440
jinja2-humanize-extension	1	1	2944713
py-order-utils	1	1	619005
nmslib	1	1	225161
ffmpeg-python	3	1	8809569
grpcio-health-checking	5	1	79706655
pytorch-metric-learning	2	1	3026683
msoffcrypto-tool	4	1	4441472
anywidget	6	1	1078867
portend	1	1	531183
syrupy	3	1	6620009
mpire	2	1	2100594
devtools	3	1	1621500
django-storages	4	1	8080451
rapidocr	1	1	1301525
ptyprocess	2	1	148750343
mockito	2	1	1388204
torch-audiomentations	1	1	1338557
linear-operator	2	1	756172
cloudevents	5	1	10572770
mlflow-skinny	8	1	29782328
coremltools	1	1	1458836
cronsim	2	1	618719
recurring-ical-events	2	1	859662
developer-disk-image	1	1	181314
enrich	1	1	1129876
gpustat	1	1	829745
azure-mgmt-loganalytics	2	1	7101026
azure-mgmt-authorization	3	1	9017714
airbyte-protocol-models-dataclasses	1	1	384399
useful-types	1	1	349069
multiprocess	10	1	60503627
webauthn	1	1	2830531
pyvips	3	1	375997
safehttpx	1	1	3769340
stringcase	3	1	9323501
qwen-agent	1	1	252149
apprise	2	1	6882448
sshfs	1	1	1690873
pyobjc-framework-avfoundation	8	1	468208
word2number	2	1	993709
azure-mgmt-web	2	1	7492875
env-tools	1	1	138213
pydispatcher	2	1	2494529
pysqlsync	1	1	86848
aiofile	4	1	13493882
tree-sitter-java	2	1	1690462
safety-schemas	1	1	3350872
airbyte-api	2	1	5489595
panphon	1	1	222136
compact-json	1	1	164218
syncedlyrics	1	1	55907
lxml-html-clean	6	1	9417415
azure-mgmt-search	2	1	6815232
doweb	1	1	78302
transformer-lens	1	1	61011
moderngl-window	1	1	131836
psutil-home-assistant	1	1	159721
schedule	4	1	8115890
pypiwin32	4	1	1343482
azure-search-documents	4	1	5550067
dict2xml	2	1	1488150
pyocd	1	1	861011
crcmod	8	1	7237386
browser-use-sdk	1	1	1379306
streamlit-antd-components	1	1	138554
azure-mgmt-subscription	2	1	2582599
sacremoses	2	1	2211954
kfactory	3	1	125790
azure-mgmt-storage	4	1	16219871
grpcio-reflection	3	1	11183143
pyodide-cli	1	1	68656
groovy	1	1	3491796
ghp-import	1	1	13661981
solana	3	1	645971
oracledb	4	1	18174930
gdsfactory	2	1	236051
tsv2py	1	1	71379
maggma	3	1	639105
sqlitedict	2	1	1146106
imagehash	1	1	4336452
pytest-reporter	1	1	176495
symengine	1	1	380996
simple-di	1	1	162423
gliner2	1	1	93155
llama-index	3	1	8648305
pymaven-patch	1	1	68679
pymemcache	1	1	2935784
xtgeoviz	1	1	60458
gemfileparser2	1	1	66104
cachelib	2	1	12493336
mongoengine	1	1	1937807
azure-mgmt-apimanagement	2	1	5594027
slugid	2	1	594158
pyinfra	1	1	217999
starsessions	1	1	358499
hupper	1	1	2425352
google-cloud-datastore	1	1	8793761
libipld	1	1	424611
platformio	1	1	1163865
veracode-api-signing	1	1	440885
numerary	1	1	137196
scim2-filter-parser	2	1	1167432
fixtures	2	1	487059
fysom	1	1	72225
pyre-extensions	5	1	1670082
traittypes	3	1	973045
gwosc	1	1	109115
osqp	2	1	3017988
ecdsa	13	1	39408481
chialisp-puzzles	1	1	107557
requests-auth-aws-sigv4	1	1	1242034
rerun-sdk	2	1	1040508
munch	2	1	3449126
snowballstemmer	4	1	27020064
azure-mgmt-network	2	1	6215952
zope-filerepresentation	1	1	107536
opentelemetry-sdk-extension-aws	2	1	3211511
altex	2	1	194019
python-snappy	4	1	7602719
pyobjc-framework-systemconfiguration	2	1	464734
solders	4	1	749403
durationpy	2	1	93594561
jaraco-collections	2	1	557524
dmgbuild	1	1	70725
types-html5lib	3	1	6504015
feedparser	7	1	11120316
runstats	1	1	125551
trame-router	1	1	69552
langdetect	8	1	9297317
drawsvg	1	1	254099
extractcode	1	1	65677
openpulse	2	1	138393
robotframework-assertion-engine	2	1	846603
lineax	3	1	447652
asyncio-throttle	1	1	1609623
circuitbreaker	1	1	5885477
awscrt	4	1	9546516
knack	5	1	7253188
gfpgan	1	1	214963
arpy	1	1	58435
ema-pytorch	1	1	190896
pytest-socket	2	1	7601339
sdbus	1	1	415710
tree-sitter-typescript	2	1	2767881
