rank	name
1068	pyserial
1070	paginate
1071	azure-mgmt-containerinstance
1072	apache-airflow-providers-amazon
1075	libclang
1076	pytesseract
1077	qrcode
1078	pysftp
1079	jellyfish
1080	types-markdown
1081	ansible-core
1083	scp
1084	ratelimit
1086	chromadb
1087	valkey-glide-sync
1088	boolean-py
1089	license-expression
1090	azure-monitor-opentelemetry
1091	adlfs
1092	grpcio-reflection
1093	qdrant-client
1094	mypy-boto3-rds
1097	astor
1098	feedparser
1099	aioresponses
1100	oldest-supported-numpy
1101	pymupdf4llm
1102	ciso8601
1103	jsonlines
1105	python-levenshtein
1106	flask-babel
1107	jsondiff
1108	slicer
1110	pyarrow-hotfix
1112	fastar
1113	locust
1114	optree
1115	opentelemetry-instrumentation-redis
1116	pygtrie
1117	envoy-data-plane
1118	mypy-boto3-sqs
1119	configparser
1120	trio-typing
1122	django-filter
1123	cloudevents
1124	pytest-split
1129	azure-eventhub
1131	python-hcl2
1132	requests-ntlm
1133	azure-storage-common
1134	appnope
1135	aiosmtplib
1137	uuid6
1138	distributed
1141	alibabacloud-credentials
1144	rdflib
1146	prometheus-fastapi-instrumentator
1147	kazoo
1150	microsoft-kiota-authentication-azure
1151	azure-mgmt-datalake-store
1152	shortuuid
1154	timm
1155	pika
1156	applicationinsights
1158	simple-gcp-object-downloader
1159	fabric
1160	types-docutils
1165	webdriver-manager
1166	h3
1168	cloudflare
1170	microsoft-kiota-serialization-text
1171	mypy-boto3-dynamodb
1173	microsoft-kiota-http
1174	olefile
1175	microsoft-kiota-serialization-json
1177	django-extensions
1178	tensorflow-estimator
1179	dunamai
1181	pytorch-lightning
1182	apache-airflow-providers-smtp
1183	azure-nspkg
1184	awscrt
1185	huey
1186	mkdocstrings-python
1187	azure-mgmt-datafactory
1188	sphinxcontrib-jquery
1189	contextlib2
1190	groq
1191	lxml-html-clean
1192	azure-synapse-artifacts
1193	iso8601
1194	opentelemetry-instrumentation-aiohttp-client
1195	stringcase
1196	langdetect
1197	std-uritemplate
1198	methodtools
1200	azure-mgmt-keyvault
1201	azure-core-tracing-opentelemetry
1202	netaddr
1203	apache-airflow-providers-imap
1204	types-croniter
1205	geventhttpclient
1206	msgraph-core
1207	flower
1208	flask-jwt-extended
1209	blobfile
1210	signalrcore
1212	py-serializable
1215	pyelftools
1217	azure-mgmt-authorization
1218	microsoft-kiota-abstractions
1220	readchar
1221	nose
1222	fastcore
1224	sagemaker-core
1225	azure-keyvault
1226	azure-mgmt-redis
1227	databricks-connect
1228	lightning-utilities
1229	opentelemetry-resource-detector-azure
1231	xmlsec
1232	swe-rex
1233	opencensus-ext-azure
1234	mypy-boto3-lambda
1235	ffmpeg-python
1236	restructuredtext-lint
1237	google-cloud-datastore
1238	blessed
1239	bottle
1241	dataclasses
1243	user-agents
1244	azure-synapse-spark
1245	junit-xml
1246	automat
1249	pip-requirements-parser
1251	llama-index
1252	pydash
1253	unstructured-client
1254	apache-airflow-providers-sqlite
1257	inputimeout
1260	c7n
1262	mypy-boto3-ec2
1263	pprintpp
1264	python-jenkins
1265	azure-appconfiguration
1268	apache-airflow-providers-ftp
1270	aniso8601
1271	jsonconversion
1273	pytest-benchmark
1274	backports-zoneinfo
1275	peft
1277	prison
1279	bottleneck
1280	aiocache
1281	django-redis
1282	azure-monitor-query
1283	apache-airflow-providers-slack
1284	opentelemetry-instrumentation-grpc
1287	pycrypto
1289	schedule
1292	dask-expr
1293	instructor
1295	swifter
1297	django-storages
1298	pyhive
1299	bashlex
1300	clickclick
1301	pure-sasl
1302	tinyhtml5
1304	toposort
1305	chevron
1306	types-psutil
1307	fs
1308	azure-mgmt-monitor
1309	sqlfluff
1310	namex
1312	types-jsonschema
1313	vcrpy
1315	enum34
1316	openxlab
1318	drf-spectacular
1319	certbot-dns-cloudflare
1321	codeowners
1324	yapf
1325	acme
1326	apache-airflow-providers-common-io
1327	elasticsearch-dsl
1328	mypy-boto3-cloudformation
1329	alibabacloud-tea-openapi
1331	flask-caching
1333	opencv-contrib-python
1334	minio
1335	clickhouse-driver
1336	dotenv
1338	python-snappy
1339	pytest-socket
1340	bazel-runfiles
1341	expiringdict
1343	pytest-json-report
1345	neo4j
1346	autopep8
1347	mypy-protobuf
1348	biopython
1349	ipython-genutils
1351	icalendar
1352	openlineage-integration-common
1353	azure-mgmt-web
1355	pytest-forked
1357	dictdiffer
1358	socksio
1359	avro-python3
1364	teradatasql
1365	apache-airflow-microsoft-fabric-plugin
1366	altgraph
1367	dbt-databricks
1368	imageio-ffmpeg
1369	openlineage-sql
1372	mypy-boto3-secretsmanager
1373	types-pymysql
1374	curlify
1376	knack
1377	crcmod
1378	azure-mgmt-sql
1379	orbax-checkpoint
1380	azure-mgmt-rdbms
1384	types-mock
1385	opsgenie-sdk
1386	dash
1387	protobuf3-to-dict
1388	python-decouple
1389	launchdarkly-server-sdk
1390	azure-mgmt-cognitiveservices
1392	boto
1393	python-ulid
1394	azure-mgmt-loganalytics
1395	waitress
1396	a2wsgi
1397	dash-pydantic-form
1398	azure-mgmt-servicebus
1399	dpath
1400	azure-mgmt-eventhub
1402	respx
1403	pytest-unordered
1404	pillow-avif-plugin
1405	thriftpy2
1406	stanio
1407	azure-mgmt-managementgroups
1408	vastdb
1409	xyzservices
1410	eth-abi
1411	apprise
1412	configobj
1413	azure-mgmt-recoveryservices
1414	azure-mgmt-cdn
1415	azure-mgmt-recoveryservicesbackup
1416	ghapi
1417	python3-saml
1418	azure-mgmt-eventgrid
1419	eth-account
1420	azure-mgmt-applicationinsights
1421	azure-mgmt-search
1422	azure-mgmt-batch
1424	statsig
1426	mixpanel
1427	marshmallow-enum
1428	azure-mgmt-iothub
1430	uritools
1431	azure-mgmt-trafficmanager
1432	cligj
1434	azure-mgmt-marketplaceordering
1435	slowapi
1437	azure-ai-projects
1438	opentelemetry-semantic-conventions-ai
1440	checkdigit
1441	llama-index-indices-managed-llama-cloud
1444	azure-mgmt-advisor
1445	elementpath
1447	pyreadline3
1448	syrupy
1449	python-box
1450	thefuzz
1451	cairosvg
1452	deepmerge
1453	mkdocstrings
1454	statsig-python-core
1457	azure-mgmt-policyinsights
1458	fake-useragent
1459	python-crontab
1460	sphinx-design
1461	azure-mgmt-servicefabric
1463	types-html5lib
1464	azure-mgmt-billing
1465	pathlib
1466	azure-mgmt-signalr
1467	pyaml
1468	azure-mgmt-media
1469	flake8-bugbear
1470	azure-mgmt-datamigration
1471	azure-mgmt-iothubprovisioningservices
1472	azure-mgmt-maps
1473	azure-mgmt-batchai
1474	azure-mgmt-iotcentral
1475	mkdocs-autorefs
1476	apache-airflow-providers-microsoft-fabric
1477	diffusers
1479	azure-cli-core
1482	hexbytes
1484	editorconfig
1486	oci
1487	opentelemetry-instrumentation-botocore
1488	unicodecsv
1489	pyxlsb
1491	ip3country
1492	alibabacloud-adb20211201
1493	parsimonious
1495	influxdb-client
1496	azure-mgmt-nspkg
1497	publicsuffix2
1499	functions-framework
1500	types-boto3
1501	docx2txt
1502	jsii
1503	azure-mgmt-network
1504	xmlschema
1505	ndg-httpsclient
1506	htmldate
1507	types-python-slugify
1508	asgi-lifespan
1509	azure-ai-agents
1511	cairocffi
1512	rq
1513	pgpy
1514	pyinstaller
1515	pytest-custom-exit-code
1517	jsbeautifier
1518	sseclient-py
1519	facebook-business
1520	sgmllib3k
1521	geomet
1522	pyinstaller-hooks-contrib
1523	tensorflow-io-gcs-filesystem
1525	bokeh
1526	cssutils
1527	opentelemetry-propagator-aws-xray
1528	speechrecognition
1530	pinecone-plugin-interface
1531	azure-mgmt-datalake-nspkg
1532	python3-openid
1533	allure-python-commons
1534	supervisor
1536	dlt
1537	python-keycloak
1538	azure-cli
1542	eth-rlp
1543	types-aiobotocore
1545	starkbank-ecdsa
1547	pympler
1550	circuitbreaker
1552	pytest-instafail
1553	launchdarkly-eventsource
1555	griffelib
1556	mitmproxy
1557	ipaddress
1558	sphinx-copybutton
1559	multipart
1560	javaproperties
1561	microsoft-kiota-serialization-multipart
1562	eth-utils
1563	aws-cdk-integ-tests-alpha
1564	publication
1566	microsoft-kiota-serialization-form
1568	eth-hash
1569	azure-mgmt-appcontainers
1570	xlwt
1571	cassandra-driver
1572	eth-typing
1574	aliyun-python-sdk-kms
1575	pycomposefile
1577	mypy-boto3-glue
1578	tensorflow-serving-api
1579	tokenize-rt
1580	snowflake-core
1581	num2words
1582	pytest-base-url
1583	unittest-xml-reporting
1584	types-tqdm
1585	django-timezone-field
1586	magicattr
1587	hdfs
1588	tree-sitter-yaml
1589	addict
1590	azure-mgmt-apimanagement
1591	llama-index-llms-openai
1593	marisa-trie
1594	scapy
1595	myst-parser
1596	types-six
1597	python-bidi
1598	recordlinkage
1599	pdm-backend
1601	url-normalize
1602	djangorestframework-simplejwt
1603	azure-search-documents
1604	apache-airflow-providers-docker
1605	pyhumps
1606	diagrams
1607	azure-mgmt-privatedns
1609	airbyte-api
1610	giturlparse
1611	azure-mgmt-hdinsight
1612	eth-keys
1613	mypy-boto3-appflow
1614	fiona
1615	ibm-cloud-sdk-core
1616	typing
1618	gymnasium
1619	zstd
1620	reactivex
1621	mypy-boto3-redshift-data
1622	sqlparams
1623	azure-mgmt-security
1624	rlp
1625	eth-keyfile
1626	singer-python
1627	microsoft-security-utilities-secret-masker
1628	enum-compat
1629	types-aiobotocore-s3
1630	sphinx-autobuild
1631	azure-cli-telemetry
1632	tld
1633	ansicolors
1635	papermill
1636	poetry-dynamic-versioning
1637	ckzg
1639	timezonefinder
1640	types-psycopg2
1641	multitasking
1643	kgb
1646	azure-mgmt-postgresqlflexibleservers
1648	allure-pytest
1650	objsize
1651	lightning
1652	azure-mgmt-synapse
1653	openlineage-airflow
1654	azure-mgmt-appconfiguration
1655	commonmark
1656	types-openpyxl
1659	pkgconfig
1660	llama-index-core
1661	types-retry
1662	azure-keyvault-administration
1663	hjson
1664	voluptuous
1665	markdown2
1666	drissionpage
1667	azure-mgmt-netapp
1668	azure-mgmt-redhatopenshift
1669	azure-synapse-accesscontrol
1670	numcodecs
1671	azure-mgmt-sqlvirtualmachine
1672	datarecorder
1673	downloadkit
1674	pyzipper
1675	web3
1677	pytest-playwright
1678	azure-mgmt-botservice
1679	azure-mgmt-imagebuilder
1680	azure-mgmt-servicefabricmanagedclusters
1681	pyhocon
1682	azure-synapse-managedprivateendpoints
1683	azure-mgmt-servicelinker
1685	azure-mgmt-extendedlocation
1687	azure-mgmt-mysqlflexibleservers
1690	pytest-sugar
1691	multi-key-dict
1693	greenback
1694	farama-notifications
1695	boostedblob
1696	sqlglotrs
1697	py-deviceid
1698	pytest-httpx
1699	tree-sitter-c-sharp
1700	opentelemetry-instrumentation-system-metrics
1701	iso3166
1704	pillow-heif
1705	pytest-ordering
1706	django-environ
1707	querystring-parser
1708	tensorflow-text
1709	marshmallow-dataclass
1710	seledroid
1711	opentelemetry-exporter-gcp-trace
1714	tree-sitter-python
1716	pypyp
1718	griffecli
1721	webob
1722	dockerfile-parse
1724	msgraph-sdk
1726	azure-devops
1727	cx-oracle
1728	tree-sitter-embedded-template
1729	tree-sitter-javascript
1730	google-apitools
1733	azure-keyvault-securitydomain
1734	crewai
1736	elevenlabs
1741	azure-ai-documentintelligence
