rank	name	version	summary	uploaded_via	upload_time	filename	recent_7d_downloads	github_url	verdict
62	tqdm	4.67.3	Fast, Extensible Progress Meter	twine/6.2.0 CPython/3.14.2	2026-02-03T17:35:53.048329	tqdm-4.67.3.tar.gz	53278652	https://github.com/tqdm/tqdm	tp
63	google-api-core	2.30.0	Google API client core library	twine/6.2.0 CPython/3.11.2	2026-02-18T20:28:11.926576	google_api_core-2.30.0.tar.gz	12191301	https://github.com/googleapis/google-cloud-python	tp
64	grpcio	1.78.1	HTTP/2-based RPC framework	twine/6.2.0 CPython/3.13.11	2026-02-20T01:16:10.869313	grpcio-1.78.1.tar.gz	21854281	https://github.com/grpc/grpc	notp
65	tomli	2.4.0	A lil' TOML parser	twine/6.2.0 CPython/3.14.2	2026-01-11T11:22:38.165952	tomli-2.4.0.tar.gz	56458217	https://github.com/hukkin/tomli	notp
66	awscli	1.44.44	Universal Command Line Environment for AWS.	twine/5.1.1 CPython/3.9.22	2026-02-20T20:31:49.940092	awscli-1.44.44.tar.gz	2355308	https://github.com/aws/aws-cli	notp
67	virtualenv	20.38.0	Virtual Python Environment builder	twine/6.1.0 CPython/3.13.7	2026-02-19T07:48:02.385397	virtualenv-20.38.0.tar.gz	14281981	https://github.com/pypa/virtualenv	tp
68	frozenlist	1.8.0	A list-like structure which implements collections.abc.MutableSequence	twine/6.1.0 CPython/3.13.7	2025-10-06T05:38:17.865026	frozenlist-1.8.0.tar.gz	59099270	https://github.com/aio-libs/frozenlist	tp
69	propcache	0.4.1	Accelerated property cache	twine/6.1.0 CPython/3.13.7	2025-10-08T19:49:02.291919	propcache-0.4.1.tar.gz	62795691	https://github.com/aio-libs/propcache	tp
70	googleapis-common-protos	1.72.0	Common protobufs used in Google APIs	twine/6.1.0 CPython/3.11.2	2025-11-06T18:29:24.087278	googleapis_common_protos-1.72.0.tar.gz	45392363	https://github.com/googleapis/google-cloud-python	tp
71	requests-oauthlib	1.4.1	OAuthlib authentication support for Requests.	twine/5.0.0 CPython/3.9.18	2024-03-25T19:31:18.855548	requests-oauthlib-1.4.1.tar.gz	55637	https://github.com/requests/requests-oauthlib	notp
72	rpds-py	0.30.0	Python bindings to Rust's persistent data structures (rpds)	twine/6.1.0 CPython/3.13.7	2025-11-30T20:24:38.837614	rpds_py-0.30.0.tar.gz	53544809	https://github.com/crate-py/rpds	tp
73	markdown-it-py	4.0.0	Python port of markdown-it. Markdown parsing, done right!	python-requests/2.32.4	2025-08-11T12:57:52.854757	markdown_it_py-4.0.0.tar.gz	57518433	https://github.com/executablebooks/markdown-it-py	notp
74	referencing	0.37.0	JSON Referencing + Python	twine/6.1.0 CPython/3.13.7	2025-10-13T15:30:48.871335	referencing-0.37.0.tar.gz	48850017	https://github.com/python-jsonschema/referencing	tp
75	aiosignal	1.4.0	aiosignal: a list of registered asynchronous callbacks	twine/6.1.0 CPython/3.12.9	2025-07-03T22:54:43.528302	aiosignal-1.4.0.tar.gz	61663789	https://github.com/aio-libs/aiosignal	tp
76	wrapt	2.1.1	Module for decorators, wrappers and monkey patching.	"uv/0.9.25 {""installer"":{""name"":""uv"",""version"":""0.9.25"",""subcommand"":[""publish""]},""python"":null,""implementation"":{""name"":null,""version"":null},""distro"":{""name"":""macOS"",""version"":null,""id"":null,""libc"":null},""system"":{""name"":null,""release"":null},""cpu"":null,""openssl_version"":null,""setuptools_version"":null,""rustc_version"":null,""ci"":null}"	2026-02-03T02:12:56.077583	wrapt-2.1.1-cp311-cp311-macosx_11_0_arm64.whl	26161111	https://github.com/GrahamDumpleton/wrapt	notp
77	greenlet	3.3.2	Lightweight in-process concurrent programming	twine/6.1.0 CPython/3.13.7	2026-02-20T21:02:51.526204	greenlet-3.3.2-cp314-cp314t-manylinux_2_24_s390x.manylinux_2_28_s390x.whl	5609162	https://github.com/python-greenlet/greenlet	notp
78	pillow	12.1.1	Python Imaging Library (fork)	twine/6.1.0 CPython/3.13.7	2026-02-11T04:23:07.146360	pillow-12.1.1.tar.gz	36759887	https://github.com/python-pillow/Pillow	tp
79	pyasn1-modules	0.4.2	A collection of ASN.1-based protocols modules	twine/6.1.0 CPython/3.13.2	2025-03-28T02:41:22.170129	pyasn1_modules-0.4.2.tar.gz	53547819	https://github.com/pyasn1/pyasn1-modules	notp
80	sqlalchemy	2.1.0b1	Database Abstraction Library	twine/6.2.0 CPython/3.14.2	2026-01-21T21:19:26.285312	sqlalchemy-2.1.0b1-cp314-cp314-musllinux_1_2_x86_64.whl	0	https://github.com/sqlalchemy/sqlalchemy	notp
81	mdurl	0.1.2	Markdown URL utilities	twine/4.0.1 CPython/3.7.13	2022-08-14T12:40:10.846281	mdurl-0.1.2.tar.gz	67601974	https://github.com/executablebooks/mdurl	notp
82	scipy	1.17.0	Fundamental algorithms for scientific computing in Python	twine/6.1.0 CPython/3.11.11	2026-01-10T21:34:23.009514	scipy-1.17.0.tar.gz	20394947	https://github.com/scipy/scipy	notp
83	jsonschema-specifications	2025.9.1	The JSON Schema meta-schemas and vocabularies, exposed as a Registry	twine/6.1.0 CPython/3.13.7	2025-09-08T01:34:59.186960	jsonschema_specifications-2025.9.1.tar.gz	54742006	https://github.com/python-jsonschema/jsonschema-specifications	tp
84	pyarrow	23.0.1	Python library for Apache Arrow	twine/6.2.0 CPython/3.13.11	2026-02-16T10:14:12.390820	pyarrow-23.0.1.tar.gz	14619959	https://github.com/apache/arrow	notp
85	trove-classifiers	2026.1.14.14	Canonical source for classifiers on PyPI (pypi.org).	twine/6.1.0 CPython/3.13.7	2026-01-14T14:54:50.526756	trove_classifiers-2026.1.14.14.tar.gz	65027338	https://github.com/pypa/trove-classifiers	tp
86	uvicorn	0.41.0	The lightning-fast ASGI server.	twine/6.1.0 CPython/3.13.7	2026-02-16T23:07:24.100327	uvicorn-0.41.0.tar.gz	26454812	https://github.com/sponsors/encode	tp
87	aiohappyeyeballs	2.6.1	Happy Eyeballs for asyncio	twine/6.1.0 CPython/3.12.9	2025-03-12T01:42:48.764560	aiohappyeyeballs-2.6.1.tar.gz	60978163	https://github.com/aio-libs/aiohappyeyeballs	tp
