rank	name
4445	lintrunner-adapters
4447	looseversion
4451	dvc-s3
4453	python-statemachine
4462	editdistpy
4472	embreex
4473	libvalkey
4478	langchain-postgres
4488	pyiceberg-core
4494	pyvisa
4505	autogen-agentchat
4516	uipath
4518	kafka-python-ng
4519	inotify-simple
4523	gitlint-core
4524	openfeature-sdk
4527	django-loginas
4530	langchain-cohere
4532	abnf
4539	opentelemetry-instrumentation-agno
4549	mcp-use
4550	textcase
4554	quantlib
4556	google-cloud-scheduler
4565	qiskit
4579	optuna-integration
4588	pymc
4590	pytest-testinfra
4591	fickling
4592	sqlalchemy-hana
4595	rtoml
4600	torch-c-dlpack-ext
4604	pydrive2
4607	open-data-contract-standard
4609	autogen-core
4615	dbt-athena-community
4616	datacontract-specification
4620	pymisp
4638	awkward-cpp
4640	openai-chatkit
4646	unlzw3
4664	langchain-perplexity
4667	weave
4669	sphinxcontrib-bibtex
4670	databind-core
4671	databind-json
4673	json-schema-for-humans
4676	flask-flatpages
4685	polyfile-weave
4689	nbstripout
4711	bump-my-version
4716	pytensor
4720	databricks-mcp
4721	google-cloud-functions
4722	py-clob-client
4725	uproot
4727	robust-downloader
4736	scanpy
4738	diraccommon
4741	iminuit
4746	tatsu
4752	robotframework-robocop
4753	homeassistant
4758	mdutils
4761	certbot-dns-multi
4763	flagsmith
4768	auditwheel
4774	matrix-nio
4775	diracx-api
4776	sqlacodegen
4782	fastapi-cache2
4784	pydoe
4795	lap
4806	gitlint
4814	construct-typing
4821	graphframes-py
4823	pymap3d
4825	django-guardian
4826	spacy-curated-transformers
4832	dbt-vertica
4834	wheel-stub
4835	patchy
4836	markuppy
4841	livereload
4847	hogql-parser
4849	angr
4854	mlx
4861	bigframes
4862	pytest-ansible
4878	tom-swe
4884	django-colorfield
4891	stpyv8
4900	posthoganalytics
4905	autogen-ext
4906	sphinx-click
4910	habluetooth
4914	polars-lts-cpu
4918	docstring-parser-fork
4920	koheesio
4928	awslabs-aws-documentation-mcp-server
4934	pyuwsgi
4935	dag-factory
4947	particle
4951	aiosmtpd
4952	pyttsx3
4954	tox-gh-actions
4955	hepunits
4962	molecule-plugins
4971	django-adminplus
4976	app-store-server-library
4991	prefect-shell
5007	algoliasearch-django
5015	pyqtgraph
5016	interpret-core
5022	pvlib
5028	osmnx
5030	fal
5036	scylla-driver
5037	descope
5039	sphinx-gallery
5041	prefixdate
5046	grpc-requests
5047	pyopengl-accelerate
5050	singlestoredb
5051	bravado
5052	systemrdl-compiler
5057	sqladmin
5058	aioesphomeapi
5059	arize-phoenix-client
5062	botorch
5067	pin
5068	dataclasses-json-speakeasy
5079	pybind11-stubgen
5082	mcap-protobuf-support
5083	runpod
5088	ably
5092	pytest-examples
5093	substrait
5095	ovld
5100	robotframework-browser
5107	mlforecast
5109	arize-phoenix-evals
5116	crcmod-plus
5117	langchain-xai
5118	langchain-deepseek
5121	flake8-annotations
5132	python-minifier
5141	trustme
5149	inngest
5154	supervisely
5156	stream-inflate
5157	aiomonitor
5165	moocore
5167	jurigged
5171	airbyte
5174	spacy-pkuseg
5183	stream-unzip
5186	langgraph-supervisor
5189	google-cloud-modelarmor
5195	prefect-github
5196	camelot-py
5206	session-info2
5211	ocrmypdf
5212	mlx-metal
5219	pytest-reportlog
5225	cmake-build-extension
5227	fuzzysearch
5232	truss
5235	meraki
5236	yara-x
5237	requests-ratelimiter
5241	quart-cors
5248	jwskate
5255	databind
5260	setupmeta
5262	tensordict-nightly
5264	langchain-ibm
5265	pyannoteai-sdk
5266	archinfo
5268	prefect-cloud
5274	standardwebhooks
5275	torchrl
5277	unicodedata2
5286	zfit
5300	zfit-interface
5304	pydantic-function-models
5306	pytest-qt
5309	lizard
5312	uipath-core
5314	claripy
5315	izulu
5316	cherrypy
5317	plexapi
5319	cle
5321	fastcrc
5322	authzed
5325	pgspecial
5330	ytsaurus-client
5333	tox-uv-bare
5334	google-cloud-billing
5335	opentelemetry-instrumentation-voyageai
5349	willow
5353	fasta2a
5358	delocate
5360	segmentation-models-pytorch
5362	pixelmatch
5363	pytest-subprocess
5364	pymatgen-analysis-defects
5378	uipath-runtime
5379	django-tasks
5390	doc8
5394	atproto
5399	great-expectations-experimental
5401	canmatrix
5403	imscore
5404	quadprog
5405	eigenpy
5426	dvclive
5428	mapclassify
5431	codecov-cli
5441	openfga-sdk
5450	taskcluster-taskgraph
5453	mcp-server-fetch
5455	pyvisa-py
5459	awslabs-aws-api-mcp-server
5463	django-cte
5464	decord2
5469	django-types
5481	telnyx
5485	pytest-plus
5487	databricks-openai
5490	typeapi
5493	bravado-core
5507	robocorp-vault
